dropout_rate,weight_decay,train_accuracy,val_accuracy,train_loss,val_loss,epochs
0.1,0.0001,0.6540555555555555,0.6769777777777778,0.975300596247779,0.9051435159299108,5
0.1,0.001,0.5947555555555556,0.6243888888888889,1.13667589202457,1.04319902510643,5
0.1,0.01,0.4918222222222222,0.5152555555555556,1.4087980016284518,1.3448618707550897,5
0.2,0.0001,0.5906777777777777,0.6319,1.1398856757058038,1.017402713309394,5
0.2,0.001,0.5477555555555556,0.5907,1.2568608025868733,1.146056757873959,5
0.2,0.01,0.4456555555555556,0.5025111111111111,1.5131002969953748,1.3757617208586799,5
0.3,0.0001,0.5347555555555555,0.5930777777777778,1.2860169343312582,1.1248994348737928,5
0.3,0.001,0.49972222222222223,0.5511,1.3757017410066392,1.2243577692508698,5
0.3,0.01,0.3889888888888889,0.43173333333333336,1.6347594378153483,1.5020849440468682,5
0.5,0.0001,0.09994444444444445,0.1,2.3027464897579617,2.3026558875613743,5
0.5,0.001,0.09936666666666667,0.1,2.3027513553619383,2.3026677369859483,5
0.5,0.01,0.09966666666666667,0.1,2.3027479536268447,2.302641964043511,5
