samples_per_class,train_accuracy,val_accuracy,train_loss,val_loss,epochs
1,0.2,0.1,2.0237181186676025,2.304119665781657,15
5,0.16,0.1000111111111111,2.179766254425049,2.3587278196546766,15
10,0.23,0.09997777777777778,2.1780051708221437,2.3993629386054143,15
50,0.304,0.2820111111111111,1.8502089595794677,1.8648953259574041,15
