fraction,val_accuracy,val_loss,num_train_samples
0.1,0.3932555555555556,1.6014075853029888,9000
0.25,0.4883222222222222,1.386040838485294,22500
0.5,0.5470222222222222,1.2309207936075,45000
1.0,0.6046222222222222,1.0892533928606245,90000
