augmentation,train_accuracy,val_accuracy,train_loss,val_loss,epochs
standard,0.4843,0.5726555555555556,1.4129196007834541,1.1806389406522115,5
color_jitter,0.4321,0.5043111111111112,1.541795441394382,1.3337718789206612,5
minimal,0.5736555555555556,0.6212666666666666,1.1869460110770331,1.0544905740737915,5
crop_resize,0.5274555555555556,0.6022444444444445,1.3105182240168254,1.099280372542805,5
